"y1","y2"
552.203474370628,7.15884223881929
283.149836420476,6.38511291512565
213.277779373539,6.60803739536639
320.575586426554,6.92731857228414
457.611224137561,7.67014314440319
1124.28175743625,8.97263996564404
3459.59031789936,18.7293340407825
4947.1715155719,24.6912217331912
5862.86020161537,28.2402432204462
8021.82542307536,32.6063257887358
10964.1933277718,43.7823114070303
12292.0072206742,48.2731312045605
10768.724548413,46.2320641353247
14244.1523371331,52.9183005316719
14237.1449238862,51.6216759566221
15219.7978592713,54.5441618711336
20610.3015685854,71.1558626235547
23003.1234844008,83.1575280543626
15631.233831728,59.6222792868855
12039.2454606508,50.7209507338223
8418.63327414039,41.9103996232493
4516.08061431613,32.552026379462
2240.74438863959,17.0263121396579
1679.13264120302,15.3781382178493
